iter	Passed	Remaining
0	3	306
1	5	290
2	8	260
3	10	242
4	12	237
5	14	229
6	16	220
7	18	214
8	20	211
9	23	207
10	25	204
11	27	200
12	29	196
13	31	194
14	33	190
15	35	185
16	37	181
17	39	177
18	41	175
19	42	171
20	44	167
21	46	163
22	47	160
23	49	156
24	51	153
25	52	150
26	54	146
27	55	143
28	57	140
29	58	137
30	60	133
31	61	130
32	62	127
33	63	124
34	65	121
35	66	118
36	68	115
37	69	113
38	71	111
39	72	108
40	73	106
41	74	102
42	76	101
43	78	100
44	80	98
45	82	96
46	83	94
47	84	91
48	86	89
49	87	87
50	88	84
51	89	82
52	90	80
53	91	78
54	92	75
55	93	73
56	94	70
57	95	68
58	96	66
59	97	64
60	98	62
61	99	60
62	99	58
63	100	56
64	101	54
65	102	52
66	103	50
67	104	48
68	105	47
69	106	45
70	107	43
71	107	41
72	108	40
73	109	38
74	110	36
75	111	35
76	112	33
77	112	31
78	113	30
79	114	28
80	114	26
81	115	25
82	116	23
83	117	22
84	118	20
85	119	19
86	120	17
87	120	16
88	121	15
89	122	13
90	122	12
91	123	10
92	124	9
93	125	8
94	126	6
95	127	5
96	128	3
97	128	2
98	129	1
99	130	0
